iter	Passed	Remaining
979	6720	137
980	6727	130
981	6733	123
982	6739	116
983	6747	109
984	6752	102
985	6759	95
986	6765	89
987	6770	82
988	6777	75
989	6783	68
990	6788	61
991	6796	54
992	6801	47
993	6812	41
994	6818	34
995	6825	27
996	6831	20
997	6836	13
998	6844	6
999	6849	0
